gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400231,5/6/2025 21:30,Minnesota,Timberwolves,1610612750,Golden State,Warriors,1610612744,88,99,1610612744,Playoffs,19223,61,West Conf. Semifinals,Game 1,1
42400202,5/6/2025 19:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,119,120,1610612754,Playoffs,19432,1000144,East Conf. Semifinals,Game 2,2
42400221,5/5/2025 21:30,Oklahoma City,Thunder,1610612760,Denver,Nuggets,1610612743,119,121,1610612743,Playoffs,18203,1000052,West Conf. Semifinals,Game 1,1
42400211,5/5/2025 19:00,Boston,Celtics,1610612738,New York,Knicks,1610612752,105,108,1610612752,Playoffs,19156,17,East Conf. Semifinals,Game 1,1
42400157,5/4/2025 20:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,89,103,1610612744,Playoffs,18055,215,West First Round,Game 7,7
42400201,5/4/2025 18:00,Cleveland,Cavaliers,1610612739,Indiana,Pacers,1610612754,112,121,1610612754,Playoffs,19432,1000144,East Conf. Semifinals,Game 1,1
42400177,5/3/2025 19:30,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,120,101,1610612743,Playoffs,19995,1000046,West First Round,Game 7,7
42400156,5/2/2025 21:00,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,107,115,1610612745,Playoffs,18064,1000011,West First Round,Game 6,6
42400176,5/1/2025 22:00,Los Angeles,Clippers,1610612746,Denver,Nuggets,1610612743,111,105,1610612746,Playoffs,17927,1000137,West First Round,Game 6,6
42400126,5/1/2025 19:30,Detroit,Pistons,1610612765,New York,Knicks,1610612752,113,116,1610612752,Playoffs,20062,624,East First Round,Game 6,6
42400165,4/30/2025 22:00,Los Angeles,Lakers,1610612747,Minnesota,Timberwolves,1610612750,96,103,1610612750,Playoffs,18997,1000069,West First Round,Game 5,5
42400155,4/30/2025 19:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,131,116,1610612745,Playoffs,18055,215,West First Round,Game 5,5
42400175,4/29/2025 22:00,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,131,115,1610612743,Playoffs,20005,1000046,West First Round,Game 5,5
42400115,4/29/2025 20:30,Boston,Celtics,1610612738,Orlando,Magic,1610612753,120,89,1610612738,Playoffs,19156,17,East First Round,Game 5,5
42400125,4/29/2025 19:30,New York,Knicks,1610612752,Detroit,Pistons,1610612765,103,106,1610612765,Playoffs,19812,30,East First Round,Game 5,5
42400135,4/29/2025 18:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,119,118,1610612754,Playoffs,17274,1000063,East First Round,Game 5,5
42400154,4/28/2025 22:00,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,109,106,1610612744,Playoffs,18064,1000011,West First Round,Game 4,4
42400104,4/28/2025 19:30,Miami,Heat,1610612748,Cleveland,Cavaliers,1610612739,83,138,1610612739,Playoffs,19600,1000100,East First Round,Game 4,4
42400134,4/27/2025 21:30,Milwaukee,Bucks,1610612749,Indiana,Pacers,1610612754,103,129,1610612754,Playoffs,17855,642,East First Round,Game 4,4
42400114,4/27/2025 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,98,107,1610612738,Playoffs,19073,1000125,East First Round,Game 4,4
42400164,4/27/2025 15:30,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,116,113,1610612750,Playoffs,19289,61,West First Round,Game 4,4
42400124,4/27/2025 13:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,93,94,1610612752,Playoffs,20062,624,East First Round,Game 4,4
42400153,4/26/2025 20:30,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,104,93,1610612744,Playoffs,18064,1000011,West First Round,Game 3,3
42400174,4/26/2025 18:00,Los Angeles,Clippers,1610612746,Denver,Nuggets,1610612743,99,101,1610612743,Playoffs,17927,1000137,West First Round,Game 4,4
42400144,4/26/2025 15:30,Memphis,Grizzlies,1610612763,Oklahoma City,Thunder,1610612760,115,117,1610612760,Playoffs,16667,242,West First Round,Game 4,4
42400103,4/26/2025 13:00,Miami,Heat,1610612748,Cleveland,Cavaliers,1610612739,87,124,1610612739,Playoffs,19600,1000100,East First Round,Game 3,3
42400163,4/25/2025 21:30,Minnesota,Timberwolves,1610612750,Los Angeles,Lakers,1610612747,116,104,1610612750,Playoffs,19312,61,West First Round,Game 3,3
42400133,4/25/2025 20:00,Milwaukee,Bucks,1610612749,Indiana,Pacers,1610612754,117,101,1610612749,Playoffs,17942,642,East First Round,Game 3,3
42400113,4/25/2025 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,95,93,1610612753,Playoffs,18967,1000125,East First Round,Game 3,3
42400173,4/24/2025 22:00,Los Angeles,Clippers,1610612746,Denver,Nuggets,1610612743,117,83,1610612746,Playoffs,17927,1000137,West First Round,Game 3,3
42400143,4/24/2025 21:30,Memphis,Grizzlies,1610612763,Oklahoma City,Thunder,1610612760,108,114,1610612760,Playoffs,16849,242,West First Round,Game 3,3
42400123,4/24/2025 19:00,Detroit,Pistons,1610612765,New York,Knicks,1610612752,116,118,1610612752,Playoffs,20062,624,East First Round,Game 3,3
42400152,4/23/2025 21:30,Houston,Rockets,1610612745,Golden State,Warriors,1610612744,109,94,1610612745,Playoffs,18055,215,West First Round,Game 2,2
42400102,4/23/2025 19:30,Cleveland,Cavaliers,1610612739,Miami,Heat,1610612748,121,112,1610612739,Playoffs,19432,1000144,East First Round,Game 2,2
42400112,4/23/2025 19:00,Boston,Celtics,1610612738,Orlando,Magic,1610612753,109,100,1610612738,Playoffs,19156,17,East First Round,Game 2,2
42400162,4/22/2025 22:00,Los Angeles,Lakers,1610612747,Minnesota,Timberwolves,1610612750,94,85,1610612747,Playoffs,18997,1000069,West First Round,Game 2,2
42400142,4/22/2025 19:30,Oklahoma City,Thunder,1610612760,Memphis,Grizzlies,1610612763,118,99,1610612760,Playoffs,18203,1000052,West First Round,Game 2,2
42400132,4/22/2025 19:00,Indiana,Pacers,1610612754,Milwaukee,Bucks,1610612749,123,115,1610612754,Playoffs,17274,1000063,East First Round,Game 2,2
42400172,4/21/2025 22:00,Denver,Nuggets,1610612743,Los Angeles,Clippers,1610612746,102,105,1610612746,Playoffs,19989,1000046,West First Round,Game 2,2
